model,n_customers,n_facilities,n_price_levels,lambda_budget,fixed_cost,objective_mean,objective_std,runtime_mean,runtime_std,gap_mean,gap_std,gap_percent_mean,gap_percent_std,opened_facilities_mean,served_customers_mean,service_rate_mean,served_demand_mean,revenue_mean,opening_cost_mean,lazy_mean,lazy_std,nodes_mean,nodes_std,best_bound_mean,num_vars_mean,num_constraints_mean,base_constraints_mean,effective_constraints_mean,optimal_cases,total_cases,optimal_rate
BBC-NoCuts,5,3,10,1.5,200,4227.321665719084,1328.132155563953,0.00130009651184078,0.0013122659739323256,0.0,0.0,0.0,0.0,1.8,4.8,0.96,258.15234331175054,4587.321665719083,360.0,0.0,0.0,1.0,0.0,4227.321665719084,183.0,217.8,217.8,217.8,5,5,100.0
BBC-NoCuts,10,4,10,0.5,50,612.5757048622911,189.6183874220213,0.0027326583862304398,0.003551880856185611,0.0,0.0,0.0,0.0,1.8,2.4,0.24,174.38011372056408,702.5757048622911,90.0,0.0,0.0,1.0,0.0,612.5757048622911,444.0,806.4,806.4,806.4,5,5,100.0
BBC-NoCuts,10,4,10,0.5,100,522.5757048622911,170.53682752333924,0.00253105163574214,0.0029747411447372907,0.0,0.0,0.0,0.0,1.8,2.4,0.24,174.38011372056408,702.5757048622911,180.0,0.0,0.0,1.0,0.0,522.5757048622911,444.0,806.4,806.4,806.4,5,5,100.0
BBC-NoCuts,10,4,10,0.5,200,342.57570486229116,135.41847336357011,0.00215210914611812,0.0014263698366947081,0.0,0.0,0.0,0.0,1.8,2.4,0.24,174.38011372056408,702.5757048622911,360.0,0.0,0.0,0.8,0.4472135954999579,342.57570486229116,444.0,806.4,806.4,806.4,5,5,100.0
BBC-NoCuts,10,4,10,1.0,50,4668.1975780412195,520.4439423613055,0.00629959106445308,0.0019978220255417534,0.0,0.0,0.0,0.0,3.8,7.6,0.76,433.25191315906056,4858.1975780412195,190.0,0.0,0.0,1.0,0.0,4668.1975780412195,444.0,743.2,743.2,743.2,5,5,100.0
BBC-NoCuts,10,4,10,1.0,100,4478.1975780412195,539.8359908544809,0.00597906112670894,0.0021347441129706125,0.0,0.0,0.0,0.0,3.8,7.6,0.76,433.25191315906056,4858.1975780412195,380.0,0.0,0.0,1.0,0.0,4478.1975780412195,444.0,743.2,743.2,743.2,5,5,100.0
BBC-NoCuts,10,4,10,1.0,200,4110.770038480482,568.3047772903948,0.00514926910400388,0.00265619416655639,0.0,0.0,0.0,0.0,3.2,6.4,0.64,389.72110959963106,4750.770038480482,640.0,0.0,0.0,1.0,0.0,4110.770038480482,444.0,743.2,743.2,743.2,5,5,100.0
BBC-NoCuts,10,4,10,1.5,50,10019.75211643742,1900.8251494273866,0.00099124908447262,0.001737598518700552,0.0,0.0,0.0,0.0,3.6,9.8,0.9800000000000001,531.7872373008178,10199.75211643742,180.0,0.0,0.0,1.0,0.0,10019.75211643742,444.0,569.6,569.6,569.6,5,5,100.0
BBC-NoCuts,10,4,10,1.5,100,9839.75211643742,1893.277904159973,0.00406394004821772,0.005229567301765368,0.0,0.0,0.0,0.0,3.6,9.8,0.9800000000000001,531.7872373008178,10199.75211643742,360.0,0.0,0.0,1.0,0.0,9839.75211643742,444.0,569.6,569.6,569.6,5,5,100.0
BBC-NoCuts,10,4,10,1.5,200,9492.066667229465,1858.701981529877,0.00227704048156736,0.0035108640999576444,0.0,0.0,0.0,0.0,3.4,9.8,0.9800000000000001,531.7872373008178,10172.066667229465,680.0,0.0,0.0,1.0,0.0,9492.066667229465,444.0,569.6,569.6,569.6,5,5,100.0
BBC-NoCuts,15,5,10,0.5,50,1338.5687069264482,650.5272469274473,0.0027393341064452597,0.001272755034915351,0.0,0.0,0.0,0.0,4.0,5.6,0.3733333333333333,353.0613297952142,1538.5687069264482,200.0,0.0,0.0,1.0,0.0,1338.5687069264482,805.0,1501.2,1501.2,1501.2,5,5,100.0
BBC-NoCuts,15,5,10,0.5,100,1139.3388994612465,629.6388044034779,0.00436334609985346,0.0023215023669921485,0.0,0.0,0.0,0.0,3.8,5.4,0.36,343.44642606261334,1519.3388994612465,380.0,0.0,0.0,1.0,0.0,1139.3388994612465,805.0,1501.2,1501.2,1501.2,5,5,100.0
BBC-NoCuts,15,5,10,0.5,200,791.0183963944024,536.3872583947358,0.0033782005310057997,0.000511008898414689,0.0,0.0,0.0,0.0,3.0,4.6,0.30666666666666664,286.509973223639,1391.0183963944023,600.0,0.0,0.0,1.0,0.0,791.0183963944024,805.0,1501.2,1501.2,1501.2,5,5,100.0
BBC-NoCuts,15,5,10,1.0,50,8848.2465503568,1849.043445306353,0.0042648315429687,0.0008297822897116249,0.0,0.0,0.0,0.0,5.0,12.6,0.8400000000000001,714.2677419848818,9098.246550356798,250.0,0.0,0.0,1.0,0.0,8848.2465503568,805.0,1368.2,1368.2,1368.2,5,5,100.0
